Time resolution is 1 ps
simtime = 540, CLK = 0, J = 0, K = 0, Q = 1, QBAR = 0
simtime = 550, CLK = 1, J = 0, K = 0, Q = 1, QBAR = 0
simtime = 550, CLK = 1, J = 0, K = 0, Q = 1, QBAR = 0
simtime = 550, CLK = 1, J = 0, K = 0, Q = 1, QBAR = 0
simtime = 550, CLK = 1, J = 0, K = 0, Q = 1, QBAR = 0
simtime = 550, CLK = 1, J = 0, K = 0, Q = 1, QBAR = 0
simtime = 560, CLK = 0, J = 0, K = 0, Q = 1, QBAR = 0
simtime = 560, CLK = 0, J = 0, K = 0, Q = 1, QBAR = 0
simtime = 560, CLK = 0, J = 0, K = 0, Q = 1, QBAR = 0
simtime = 560, CLK = 0, J = 0, K = 0, Q = 1, QBAR = 0
simtime = 560, CLK = 0, J = 0, K = 0, Q = 1, QBAR = 0
simtime = 570, CLK = 1, J = 0, K = 0, Q = 1, QBAR = 0
simtime = 570, CLK = 1, J = 0, K = 0, Q = 1, QBAR = 0
simtime = 570, CLK = 1, J = 0, K = 0, Q = 1, QBAR = 0
simtime = 570, CLK = 1, J = 0, K = 0, Q = 1, QBAR = 0
simtime = 570, CLK = 1, J = 0, K = 0, Q = 1, QBAR = 0
simtime = 580, CLK = 0, J = 0, K = 0, Q = 1, QBAR = 0
simtime = 580, CLK = 0, J = 0, K = 0, Q = 1, QBAR = 0
simtime = 580, CLK = 0, J = 0, K = 0, Q = 1, QBAR = 0
simtime = 580, CLK = 0, J = 0, K = 0, Q = 1, QBAR = 0
simtime = 580, CLK = 0, J = 0, K = 0, Q = 1, QBAR = 0
simtime = 590, CLK = 1, J = 0, K = 0, Q = 1, QBAR = 0
simtime = 590, CLK = 1, J = 0, K = 0, Q = 1, QBAR = 0
simtime = 590, CLK = 1, J = 0, K = 0, Q = 1, QBAR = 0
simtime = 590, CLK = 1, J = 0, K = 0, Q = 1, QBAR = 0
simtime = 590, CLK = 1, J = 0, K = 0, Q = 1, QBAR = 0
